Entrytype,Groups,Title,Organization,Creationdate,Year,Month,Validity,Asset, Discipline, Stage, Category, Requirement, Must, Comment, Timestamp, Register,URL,File
TechReport,CE01,Electrical Installation Condition Report,Village Electrical Railway Cottage Station Road,,2022,,,Netherfield Nottingham,Electrical,Construction,Operational,Best Practice,Y,,9/16/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 1 Assets/Netherfield Nottingham - Findel Education/Audit D/D1_eicr-20220222115251.pdf:PDF
TechReport,CE01,Electrical Installation Condition Report,Village Electrical Railway Cottage Station Road,,2022,,,Netherfield Nottingham,Electrical,Construction,Operational,Best Practice,Y,,9/16/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 1 Assets/Netherfield Nottingham - Findel Education/Audit D/D1_eicr-20221107110338.pdf:PDF
TechReport,CE01,Electrical Installation Condition Report,Village Electrical Railway Cottage Station Road,,2021,,,Netherfield Nottingham,Electrical,Construction,Operational,Best Practice,Y,,9/16/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 1 Assets/Netherfield Nottingham - Findel Education/Audit D/D1_eicr-20220204111534.pdf:PDF
Plan,NA,Wastewater,Severn Trent,,2020,\#oct\#,,Netherfield Nottingham,Plumbing,Construction,Operational,Best Practice,N,,9/16/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 1 Assets/Netherfield Nottingham - Findel Education/Audit D/D12_457246_A2_Wastewater.pdf:PDF
Certificate,CE11,Certificate of Microbiology Analysis,Latis Scientific,,2024,\#jan\#,NA,Clarence House,Environment,Operation,Operational,Best Practice,Y,,9/16/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 2 Assets/3x London Assets/Clarence House/inspection documents including landlords FRA/16.1.24 - 4 MPS - Microbiology Cert of Analysis.PDF:PDF
Certificate,CE11,Certificate of Microbiology Analysis,Latis Scientific,,2024,\#jan\#,NA,Clarence House,Environment,Operation,Operational,Best Practice,Y,,9/16/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 2 Assets/3x London Assets/Clarence House/inspection documents including landlords FRA/Periodicals-10667-2(691992) (1).PDF:PDF
Certificate,CE11,Certificate of Microbiology Analysis,Latis Scientific,,2024,\#jan\#,NA,Clarence House,Environment,Operation,Operational,Best Practice,Y,,9/16/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 2 Assets/3x London Assets/Clarence House/inspection documents including landlords FRA/Periodicals-10667-2(691992) (2).PDF:PDF
Certificate,CE11,Certificate of Microbiology Analysis,Latis Scientific,,2024,\#jan\#,NA,Clarence House,Environment,Operation,Operational,Best Practice,Y,,9/16/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 2 Assets/3x London Assets/Clarence House/inspection documents including landlords FRA/Periodicals-10667-2(694230) (2).PDF:PDF
Certificate,CE11,Certificate of Microbiology Analysis,Latis Scientific,,2024,\#jan\#,NA,Clarence House,Environment,Operation,Operational,Best Practice,Y,,9/16/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 2 Assets/3x London Assets/Clarence House/inspection documents including landlords FRA/Periodicals-10667-2(698617) (3).PDF:PDF
Certificate,CE11,Certificate of Microbiology Analysis,Latis Scientific,,2024,\#jan\#,NA,Clarence House,Environment,Operation,Operational,Best Practice,Y,,9/16/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 2 Assets/3x London Assets/Clarence House/inspection documents including landlords FRA/Periodicals-10667-2(728749) (1).PDF:PDF
Certificate,CE11,Certificate of Microbiology Analysis,Latis Scientific,,2024,\#mar\#,NA,Clarence House,Environment,Operation,Operational,Best Practice,Y,,9/16/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 2 Assets/3x London Assets/Clarence House/inspection documents including landlords FRA/Workorders-27442A(723087) (1).PDF:PDF
Contract,LE03,Appointment Contract of Mechanical and Electrical Services Engineer,Aviva Life \& Pensions UK Limited,,2017,\#dec\#,NA,4 Matthew Parker Street,Legal,Pre-Construction,Legal,Legal,Y,No clear title the document title has been created,9/13/2024,,,":C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 2 Assets/3x London Assets/Clarence House/Appointment of M+E Engineer 21.12.2017 (Aviva, Watkins).pdf:PDF"
TechReport,NA,NLC Employee Search Risk Assessment,NA,,2018,,,Netherfield Nottingham,General,General,Environmental,Best Practice,N,,9/13/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 1 Assets/Netherfield Nottingham - Findel Education/Audit C/C4 Risk Assessments/Task Risks/NLC Employee Search Risk Assessment.pdf:PDF
Certificate,NA,Final Certificate,Butler \& Young Approved Inspectors Limited,,2017,\#apr\#,NA,4 Matthew Parker Street,General,Maintenance,Other,Other,N,,9/13/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 2 Assets/3x London Assets/Clarence House/Final Certificate 13.09.17.pdf:PDF
Contract,NA,Performance Bond,NA,,2011,NA,NA,4 Matthew Parker Street,Legal,Pre-Construction,Legal,Legal,Y,No written info on the Client and Contractor.The document is unsigned,9/13/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 2 Assets/3x London Assets/Clarence House/Building Contract Annexures..pdf:PDF
Contract,CO02,Service Agreement for Goods Lifts,C \& H Lifts Ltd,,2023,\#jun\#,,Netherfield Nottingham,General,Operation,Construction Contract Warranty,Legal,Y,,9/16/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 1 Assets/Netherfield Nottingham - Findel Education/Audit D/D5_Goods Lifts.pdf:PDF
Certificate,NA,Draft Certificate of Title,NA,,NA,NA,NA,Hermitage Lane,General,General,Other,Other,N,Draft document,9/16/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 2 Assets/Title Plans (at rear of document)/DRAFT - Certificate of Title  - Hermitage Lane_ Aylesford_ Kent - 31.05.2024.pdf:PDF
Certificate,NA,Draft Certificate of Title,NA,,NA,NA,NA,The Woodlands,General,General,Other,Other,N,Draft document,9/16/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 2 Assets/Title Plans (at rear of document)/DRAFT Certificate of Title  - Woodlands Thurmaston 31.05.24.pdf:PDF
Certificate,NA,Air Conditioning Inspection Certificate,Elmhurst Energy Systems Ltd,,2023,\#oct\#,30-Oct-28,Netherfield Nottingham,Mechanical,Construction,Operational,Best Practice,N,,9/16/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 1 Assets/Netherfield Nottingham - Findel Education/Audit D/D16_Air conditioning inspection certificate – Find an energy certificate – GOV.pdf:PDF
Certificate,NA,Certificate of Completion,City of Westminister,,2003,\#oct\#,NA,4 Matthew Parker Street,Architectural,Maintenance,Other,Other,N,,9/13/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 2 Assets/3x London Assets/Clarence House/Certificate of Completion.pdf:PDF
TechReport,CE03,Fire Alarm Service of Clarence House,RELTECH SOLUTIONS,,2024,\#apr\#,,Clarence House,FDAS,Operation,Operational,Best Practice,Y,,9/16/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 2 Assets/3x London Assets/Clarence House/inspection documents including landlords FRA/16.4.24 - 4 MPS - Fire Alarm Service.pdf:PDF
TechReport,EN02,Engineers Gas Service Report,Edmund Services Limited,,2023,NA,,Clarence House,Energy,Operation,Environmental,Optional,N,,9/16/2024,,,:C\:\\Users\\Nam Le/ARCADIS/Project Tiger (2024) - General/06. Documents Provided/Stage 2 Assets/3x London Assets/Clarence House/inspection documents including landlords FRA/24.8.24 - 4 MPS - Gas Safe.pdf:PDF
